Weight (kg),Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency,Behaviour Pattern
7.2,427,122,14.3,28.5,0,2,29,High,Normal
7.2,279,109,9.1,27.8,0,29.3,28,Medium,Normal
7.2,0,109,1,26.5,0,0,17,None,Sleeping
7.2,0,105,2,25.5,0,0,16,None,Sleeping
7.2,0,104,3,25.8,0,0,15,None,Sleeping
7.2,0,113,3,24.6,0,0,15,None,Sleeping
7.2,0,111,1,27.5,0,0,15,None,Sleeping
7.2,0,105,3,24.7,0,0,16,None,Sleeping
7.2,0,107,2,27.5,0,0,15,None,Sleeping
7.2,171,109,5.9,26.6,151.9,85,25,None,Eating
7.2,3003,133,87.5,32.4,0,0,27,High,Walking
7.2,0,108,1,27.4,0,0,16,None,Sleeping
7.2,386,116,14.1,28.8,0,49.8,19,None,Normal
7.2,471,104,14.6,27.7,0,19.7,17,None,Normal
7.2,481,107,14.9,28.3,0,59.7,24,Low,Normal
7.2,361,109,13.4,25,0,56.8,19,None,Normal
7.2,268,104,8.7,27.4,109.4,129.7,26,None,Eating
7.2,0,104,3,26.3,0,0,16,None,Sleeping
7.2,236,104,9.8,28,0,4.6,23,Low,Normal
7.2,1180,132,37,31.6,0,0,35,None,Walking
7.2,427,106,14.3,26.7,0,2,20,None,Normal
7.2,270,114,10.8,27.1,0,19.5,16,Low,Normal
7.2,0,105,2,26.8,0,0,17,None,Sleeping
7.2,0,108,3,24.9,0,0,18,None,Sleeping
7.2002,0,106,2,25.6,0,0,15,None,Sleeping
7.2002,0,108,1,26.6,0,0,20,None,Sleeping
7.2002,0,113,3,25.7,0,0,17,None,Sleeping
7.2002,0,112,2,27.3,0,0,19,None,Sleeping
7.2002,0,105,3,26.9,0,0,15,None,Sleeping
7.2002,0,106,2,24.8,0,0,15,None,Sleeping
7.2002,0,107,2,25.2,0,0,17,None,Sleeping
7.2002,0,106,3,27.4,0,0,18,None,Sleeping
7.2002,0,111,3,27.1,0,0,17,None,Sleeping
7.2002,2143,121,62.7,34.9,0,0,27,None,Walking
7.2002,247,106,9.1,27.5,196,87.2,18,None,Eating
